ID,X_happiness,X_gender,T_raw,Y_raw,T,Y,uplift_score,segment
168172501,9,1,3,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
168172502,8,1,3,1,0,1,-0.464697200276516,안심군 (Sure Things)
168172503,10,1,2,2,0,1,-0.8427932361731887,안심군 (Sure Things)
168172504,5,1,1,1,0,1,-0.32328536928091867,설득가능군 (Persuadables)
168172505,7,1,3,1,0,1,-0.6110632678608602,안심군 (Sure Things)
168172506,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
171173101,10,1,2,2,0,1,-0.8427932361731887,안심군 (Sure Things)
171173102,9,1,3,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171173103,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
171173104,10,1,1,2,0,1,-0.8427932361731887,안심군 (Sure Things)
171173105,8,1,3,3,0,1,-0.464697200276516,안심군 (Sure Things)
171173201,7,2,2,2,0,1,-0.6628561166735585,안심군 (Sure Things)
171173202,6,2,1,2,0,1,-0.6388529916885708,안심군 (Sure Things)
171173203,7,2,2,2,0,1,-0.6628561166735585,안심군 (Sure Things)
171173204,4,1,2,2,0,1,-0.43171188020525564,설득가능군 (Persuadables)
171173205,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171173301,7,2,2,1,0,1,-0.6628561166735585,안심군 (Sure Things)
171173302,9,2,3,2,0,1,-0.5534077678822292,안심군 (Sure Things)
171173303,6,2,1,1,0,1,-0.6388529916885708,안심군 (Sure Things)
171173304,7,2,2,2,0,1,-0.6628561166735585,안심군 (Sure Things)
171173305,8,2,1,2,0,1,-0.6400773413346114,안심군 (Sure Things)
171173402,8,1,2,1,0,1,-0.464697200276516,안심군 (Sure Things)
171173403,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
171173404,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171173405,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
171173501,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171173502,5,2,2,2,0,1,-0.6966991843583654,안심군 (Sure Things)
171173503,7,2,3,3,0,1,-0.6628561166735585,안심군 (Sure Things)
171173504,4,2,1,2,0,1,-0.6495640458113877,안심군 (Sure Things)
171173505,10,2,3,3,0,1,-0.4373689938914715,설득가능군 (Persuadables)
171174101,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171174102,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171174103,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171174104,8,2,3,3,0,1,-0.6400773413346114,안심군 (Sure Things)
171174105,11,1,1,1,0,1,-0.508800810868942,안심군 (Sure Things)
171174201,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171174202,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171174203,9,2,3,3,0,1,-0.5534077678822292,안심군 (Sure Things)
171174204,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171174205,8,2,1,1,0,1,-0.6400773413346114,안심군 (Sure Things)
171174301,10,1,1,1,0,1,-0.8427932361731887,안심군 (Sure Things)
171174302,7,2,2,2,0,1,-0.6628561166735585,안심군 (Sure Things)
171174303,8,2,2,2,0,1,-0.6400773413346114,안심군 (Sure Things)
171174304,7,2,1,1,0,1,-0.6628561166735585,안심군 (Sure Things)
171174305,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
171174401,5,1,2,2,0,1,-0.32328536928091867,설득가능군 (Persuadables)
171174402,8,1,3,3,0,1,-0.464697200276516,안심군 (Sure Things)
171174403,9,1,3,4,0,0,-0.4539504033874678,설득가능군 (Persuadables)
171174404,4,2,1,1,0,1,-0.6495640458113877,안심군 (Sure Things)
171174405,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
171174501,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171174502,8,2,1,1,0,1,-0.6400773413346114,안심군 (Sure Things)
171174505,11,1,2,2,0,1,-0.508800810868942,안심군 (Sure Things)
171175101,7,1,3,2,0,1,-0.6110632678608602,안심군 (Sure Things)
171175102,6,1,1,1,0,1,-0.49238047852082173,안심군 (Sure Things)
171175103,9,1,1,1,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171175104,11,1,3,3,0,1,-0.508800810868942,안심군 (Sure Things)
171175105,8,1,3,2,0,1,-0.464697200276516,안심군 (Sure Things)
171175201,6,1,2,2,0,1,-0.49238047852082173,안심군 (Sure Things)
171175202,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171175203,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171175204,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
171175205,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
